"lang"
{
	"Language"	"schinese"
		"DOTA_Tooltip_modifier_thdots_youmu04_think_interval_Description"	""
		"DOTA_Tooltip_modifier_thdots_aya01_think_interval"	"「幻想风靡」"
		"DOTA_Tooltip_modifier_thdots_aya01_think_interval_Description"	"向目标方向高速移动。"
		"DOTA_Tooltip_modifier_thdots_aya02_buff"	"被拍照了"
		"DOTA_Tooltip_modifier_thdots_aya02_buff_Description"	"暴露视野，且被文攻击时会受到额外纯粹伤害。"
		"DOTA_Tooltip_passive_aya03_attack"	"「风神一扇」"
		"DOTA_Tooltip_passive_aya03_attack_Description"	"24%%概率使攻击目标及其周围减速。"
		"DOTA_Tooltip_modifier_aya03_slow"	"风中凌乱"
		"DOTA_Tooltip_modifier_aya03_slow_Description"	"移动速度降低15%%"
		"DOTA_Tooltip_modifier_thdots_aya04_blink"	"「风神少女」"
		"DOTA_Tooltip_modifier_thdots_aya04_blink_Description"	"移动变为短距离闪烁。"
		"DOTA_Tooltip_passive_tensi02_attack"	"天符「天道是非之剑」"
		"DOTA_Tooltip_passive_tensi02_attack_Description"	"每隔一定时间，攻击附加范围晕眩和额外伤害。"
		"DOTA_Tooltip_modifier_tensi_wanbaochui_buff"	"绯想无念"
		"DOTA_Tooltip_modifier_tensi_wanbaochui_buff_Description"	"获得100%%减伤，但不可进行攻击、使用技能和道具"
		"DOTA_Tooltip_modifier_tensi_wanbaochui_buff_2"	"绯想无念"
		"DOTA_Tooltip_modifier_tensi_wanbaochui_buff_2_Description"	"每秒恢复8%%最大生命值"

		"DOTA_Tooltip_modifier_byakuren03_effect"	"飞钵「传说的飞空雅盘」"
		"DOTA_Tooltip_modifier_byakuren03_effect_Description"	"若为白莲友方，会立刻回到白莲面前，并驱散异常状态。\n若为白莲敌方，将回到被标记的位置。"
		"DOTA_Tooltip_passive_byakuren04_attack"	"「超人攻击」"
		"DOTA_Tooltip_passive_byakuren04_attack_Description"	"攻击造成范围额外魔法伤害，并回复生命值。"
		"DOTA_Tooltip_passive_byakuren04_bonus_health"	"「超人圣白莲」"
		"DOTA_Tooltip_passive_byakuren04_bonus_health_Description"	"以最大法力值增加最大生命值。"
		"DOTA_Tooltip_modifier_thdots_byakuren04_wanbaochui_buff"	"「万宝槌加成」"
		"DOTA_Tooltip_modifier_thdots_byakuren04_wanbaochui_buff_Description"	"每损失1%%的血量获得0.%5%移速和2点攻速加成。"
		

		"DOTA_Tooltip_modifier_thdots_byakuren05_debuff"	"大魔法「魔神复诵」"
		"DOTA_Tooltip_modifier_thdots_byakuren05_debuff_Description"	"魔抗大幅下降。"
		"DOTA_Tooltip_modifier_thdots_yuyukoEx"	"「死蝶浮月」"
		"DOTA_Tooltip_modifier_thdots_yuyuko04_think_interval"	"「反魂蝶」"
		"DOTA_Tooltip_modifier_thdots_yuyuko04_think_interval_Description"	"以敌人的灵魂为养分，盛开出美丽的樱花吧！"
		"DOTA_Tooltip_modifier_yuyuko_wanbaochui_buff"	"「万宝槌加成」"
		"DOTA_Tooltip_modifier_yuyuko_wanbaochui_buff_Description"	"每点能量获得3点生命恢复和3%%技能增强。"
		"DOTA_Tooltip_modifier_thdots_sakuya03_bouns_attackspeed"	"奇术「Misdirection」"
		"DOTA_Tooltip_modifier_thdots_sakuya03_bouns_attackspeed_Description"	"操纵时间，增加攻击速度27%%"
		"DOTA_Tooltip_modifier_thdots_sakuya04_think_interval"	"时符「Private Square」"
		"DOTA_Tooltip_modifier_thdots_sakuya04_think_interval_Description"	"技能皆无冷却时间，但用同种技能会有额外消耗"
		"DOTA_Tooltip_passive_flandre02_attack"	"禁忌「莱瓦汀」"
		"DOTA_Tooltip_passive_flandre02_attack_Description"	"攻击附带额外伤害，并且可以使敌人减少移动速度、攻击速度减少12%%(可叠加)"
		"DOTA_Tooltip_modifier_flandre02_slow"	"恐怖降临"
		"DOTA_Tooltip_modifier_flandre02_slow_Description"	"因恐惧而移动速度、攻击速度减少12%%"
		"DOTA_Tooltip_modifier_flandre02_slow_wanbaochui"	"烈火之剑「莱瓦汀」"
		"DOTA_Tooltip_modifier_flandre02_slow_wanbaochui_Description"	"因恐惧而移动速度、攻击速度减少12%%，并降低25点攻击"
		
		"DOTA_Tooltip_modifier_thdots_flandre_04_multi"	"「之后，就什么都没有了哦」"
		"DOTA_Tooltip_modifier_thdots_flandre_04_multi_Description"	"接下来的攻击将会造成巨额物理伤害。"
		"DOTA_Tooltip_modifier_thdots_flandre_04_speed"	"「之后，就什么都没有了哦」"
		"DOTA_Tooltip_modifier_thdots_flandre_04_speed_Description"	"击杀后获得移速提升。"
		"DOTA_Tooltip_modifier_thdots_Mokou01_think_interval"	"不死「火鸟-凤翼天翔」"
		"DOTA_Tooltip_modifier_thdots_Mokou01_think_interval_Description"	"冲撞目标，对自己和敌人造成伤害。"
		"DOTA_Tooltip_modifier_thdots_Mokou01_effect"	"不死火鸟"
		"DOTA_Tooltip_modifier_thdots_Mokou01_effect_Description"	"燃烧自己的生命后的余热。"
		"DOTA_Tooltip_passive_mokou02_attack"	"蓬莱「凯风快晴」"
		"DOTA_Tooltip_passive_mokou02_attack_Description"	"攻击同个单位攻击速度持续提高并有概率爆炸"
		"DOTA_Tooltip_modifier_mokou02_speed_up"	"蓬莱「凯风快晴」"
		"DOTA_Tooltip_modifier_mokou02_speed_up_Description"	"每次攻击，增加攻击速度"
		"DOTA_Tooltip_modifier_thdots_Mokou_04"	"「不死鸟附体」"
		"DOTA_Tooltip_modifier_thdots_Mokou_04_Description"	"生命回复、移动速度、爆炸伤害、攻击力提大幅提高"
		"DOTA_Tooltip_passive_yugi01_bouns"	"鬼符「怪力乱神」"
		"DOTA_Tooltip_passive_yugi01_bouns_Description"	"被动增加力量"
		"DOTA_Tooltip_passive_yugi03_attack"	"力业「大江山岚」"
		"DOTA_Tooltip_passive_yugi03_attack_Description"	"攻击有一定概率将敌人顶飞并受伤、晕眩"
		"DOTA_Tooltip_ability_yugi03_animation"	"力业「大江山岚」"
		"DOTA_Tooltip_ability_yugi03_animation_Description"	""
		"DOTA_Tooltip_modifier_thdots_yugi04_think_interval"	"三步必杀"
		"DOTA_Tooltip_modifier_thdots_yugi04_think_interval_Description"	"位移超过300码则直接死亡，否则收到总血量25%%的伤害"
		"DOTA_Tooltip_passive_suika02_attack"	"鬼符「大江山悉皆杀」"
		"DOTA_Tooltip_passive_suika02_attack_Description"	"攻击有30%%概率造成范围伤害和使范围内敌人受到减速效果"
		"DOTA_Tooltip_modifier_suika02_slow"	"眩晕"
		"DOTA_Tooltip_modifier_suika02_slow_Description"	"移动速度减少40%%"
		"DOTA_Tooltip_passive_suika02_ult_attack"	"鬼符「大江山悉皆杀」(Missing Purple Power状态)"
		"DOTA_Tooltip_passive_suika02_ult_attack_Description"	"攻击有大概率造成范围伤害和使范围内敌人受到减速效果"
		"DOTA_Tooltip_modifier_suika02_ult_slow"	"眩晕"
		"DOTA_Tooltip_modifier_suika02_ult_slow_Description"	"移动速度减少40%%"
		"DOTA_Tooltip_modifier_thdots_suika03_think_interval"	"分解化雾中"
		"DOTA_Tooltip_modifier_thdots_suika03_think_interval_Description"	"无敌，但是无法攻击和使用技能、道具。"
		"DOTA_Tooltip_modifier_thdots_Suika_04"	"鬼神「Missing Purple Power」"
		"DOTA_Tooltip_modifier_thdots_Suika_04_Description"	"免疫物理伤害，提高「大江山悉皆杀」触发概率。"
		"DOTA_Tooltip_modifier_Suika_04_wanbaochui"	"「坤轴的大鬼」"
		"DOTA_Tooltip_modifier_Suika_04_wanbaochui_Description"	"无视地形移动"
		
		"DOTA_Tooltip_ability_rumia02_grace_crit"	"暗符「境界线」"
		"DOTA_Tooltip_ability_rumia02_grace_crit_Description"	"15%%概率暴击。"
		"DOTA_Tooltip_Rumia_Effect"	"暗符「境界线」"
		"DOTA_Tooltip_Rumia_Effect_Description"	"攻击降低敌人移动速度并造成法术伤害，\n并有15%%概率暴击。"
		"DOTA_Tooltip_Rumia_KaMi"	"流血"
		"DOTA_Tooltip_Rumia_KaMi_Description"	"减速且持续受到伤害"
		"DOTA_Tooltip_Rumia_Eat_Effect"	"是~这样~吗~"
		"DOTA_Tooltip_Rumia_Eat_Effect_Description"	"被露米娅吃了一口，所幸还活着。"
		"DOTA_Tooltip_modifier_ability_thdots_iku02"	"棘符「雷云棘鱼」"
		"DOTA_Tooltip_modifier_ability_thdots_iku02_Description"	"提高护甲和魔抗并弹开近身的敌人，\n但移动速度降低至220。"
		"DOTA_Tooltip_modifier_thdots_Utsuho01_fire_damage"	"辐射灼烧"
		"DOTA_Tooltip_modifier_thdots_Utsuho01_fire_damage_Description"	"受到持续伤害并沉默"
		"DOTA_Tooltip_modifier_thdots_Utsuho02_mana_regen"	"「地狱极乐熔毁」"
		"DOTA_Tooltip_modifier_thdots_Utsuho02_mana_regen_Description"	"魔法恢复中，但对周围所有单位造成辐射伤害。"
		"DOTA_Tooltip_modifier_thdots_Utsuho03_damage"	"「Abyss Nova」"
		"DOTA_Tooltip_modifier_thdots_Utsuho03_damage_Description"	"蓄积核能中，蓄积时间结束后对周围敌军造成伤害。"
		"DOTA_Tooltip_modifier_thdots_Utsuho04_think_interval"	"「地狱的人工太阳」"
		"DOTA_Tooltip_modifier_thdots_Utsuho04_think_interval_Description"	"核裂变制造人工太阳中，终止施法则产生核爆。"
		"DOTA_Tooltip_modifier_thdots_Utsuho04_wanbaochui_debuff"	"「核威慑」"
		"DOTA_Tooltip_modifier_thdots_Utsuho04_wanbaochui_debuff_Description"	"人工太阳得到了增幅，辐射范围内的单位被沉默了。"
		
		"DOTA_Tooltip_modifier_thdots_eirin02_magic_immune"	"射箭"
		"DOTA_Tooltip_modifier_thdots_eirin02_magic_immune_Description"	"发射药箭中"
		"DOTA_Tooltip_modifier_ability_thdots_eirinex_health_regen"	"急救药发挥中"
		"DOTA_Tooltip_modifier_ability_thdots_eirinex_health_regen_Description"	"持续不断回复生命值。"
		"DOTA_Tooltip_modifier_ability_thdots_eirin03_effect"	"永夜归隐"
		"DOTA_Tooltip_modifier_ability_thdots_eirin03_effect_Description"	"隐身，并获得额外智力和攻击力。"
		"DOTA_Tooltip_modifier_ability_thdots_eirin04_effect"	"蓬莱之药"
		"DOTA_Tooltip_modifier_ability_thdots_eirin04_effect_Description"	"吃了蓬莱之药，死后瞬间满血量复活"
		"DOTA_Tooltip_modifier_thdots_kaguya01_think"	"难题「虹色的弹幕」"
		"DOTA_Tooltip_modifier_thdots_kaguya01_think_Description"	"放出七色的弹幕，造成范围伤害。"
		"DOTA_Tooltip_modifier_thdots_kaguya03_mana_regen"	"「永夜归返」"
		"DOTA_Tooltip_modifier_thdots_kaguya03_mana_regen_Description"	"会在黑夜中魔法恢复速度提升。"
		"DOTA_Tooltip_modifier_thdots_kaguya04_passive"	"永远之力"
		"DOTA_Tooltip_modifier_thdots_kaguya04_passive_Description"	"利用永远之力消耗魔法值不断补充生命。"
		"DOTA_Tooltip_modifier_thdots_kaguya04_think"	"蓬莱的树海"
		"DOTA_Tooltip_modifier_thdots_kaguya04_think_Description"	"释放旋转变大的弹幕，对敌人造成晕眩和伤害。"
		"DOTA_Tooltip_modifier_thdots_kaguya_wanbaochui_debuff_1"	"一重弹幕"
		"DOTA_Tooltip_modifier_thdots_kaguya_wanbaochui_debuff_1_Description"	"降低30点攻击。"
		"DOTA_Tooltip_modifier_thdots_kaguya_wanbaochui_debuff_2"	"二重弹幕"
		"DOTA_Tooltip_modifier_thdots_kaguya_wanbaochui_debuff_2_Description"	"降低30点攻速。"
		"DOTA_Tooltip_modifier_thdots_kaguya_wanbaochui_debuff_3"	"三重弹幕"
		"DOTA_Tooltip_modifier_thdots_kaguya_wanbaochui_debuff_3_Description"	"降低15%%魔抗。"
		"DOTA_Tooltip_modifier_thdots_kaguya_wanbaochui_debuff_4"	"四重弹幕"
		"DOTA_Tooltip_modifier_thdots_kaguya_wanbaochui_debuff_4_Description"	"降低30%%移速。"
		"DOTA_Tooltip_modifier_thdots_kaguya_wanbaochui_debuff_5"	"五重弹幕"
		"DOTA_Tooltip_modifier_thdots_kaguya_wanbaochui_debuff_5_Description"	"致盲：攻击时70%%概率丢失。"
		"DOTA_Tooltip_modifier_thdots_kaguya_wanbaochui_debuff_6"	"六重弹幕"
		"DOTA_Tooltip_modifier_thdots_kaguya_wanbaochui_debuff_6_Description"	"使目标沉默。"
		"DOTA_Tooltip_modifier_thdots_kaguya_wanbaochui_debuff_7"	"七重弹幕"
		"DOTA_Tooltip_modifier_thdots_kaguya_wanbaochui_debuff_7_Description"	"使目标缠绕。"
		"DOTA_Tooltip_modifier_sanae01_slow"	"神风中凌乱"
		"DOTA_Tooltip_modifier_sanae01_slow_Description"	"减少移动速度40%%"
		"DOTA_Tooltip_modifier_brilliance_aura_effect_datadriven"	"「新星辉煌之夜」"
		"DOTA_Tooltip_modifier_brilliance_aura_effect_datadriven_Description"	"来自早苗的奇迹，增加全地图友军的法力回复"
		"DOTA_Tooltip_modifier_thdots_sanae04_think_interval"	"神德「五谷丰登」"
		"DOTA_Tooltip_modifier_thdots_sanae04_think_interval_Description"	"使周围友军处于无敌状态。"
		"DOTA_Tooltip_modifier_sanae04_invulnerable"	"无敌"
		"DOTA_Tooltip_modifier_sanae04_invulnerable_Description"	"在早苗的结界内拥有无敌效果。"
		"DOTA_Tooltip_modifier_thdots_reisen01_think_interval"	"Thdots Reisen01 Think Interval"
		"DOTA_Tooltip_modifier_thdots_reisen01_think_interval_Description"	""
		"DOTA_Tooltip_modifier_thdots_reisen02_buff"	"Thdots Reisen02 Buff"
		"DOTA_Tooltip_modifier_thdots_reisen02_buff_Description"	""
		"DOTA_Tooltip_modifier_thdots_reisen03_think_interval"	"Thdots Reisen03 Think Interval"
		"DOTA_Tooltip_modifier_thdots_reisen03_think_interval_Description"	""
		"DOTA_Tooltip_passive_reisenOldex_attack"	"弱心「丧心丧意」"
		"DOTA_Tooltip_passive_reisenOldex_attack_Description"	"攻击有概率使敌人降低移速和命中。"
		"DOTA_Tooltip_modifier_reisenexold_slow"	"丧失战意"
		"DOTA_Tooltip_modifier_reisenexold_slow_Description"	"降低移动速度，攻击有概率丢失。"
		"DOTA_Tooltip_passive_reisenOld02_attack"	"幻兔「并行交叉」"
		"DOTA_Tooltip_passive_reisenOld02_attack_Description"	"攻击有概率制造幻象。"
		"DOTA_Tooltip_modifier_thdots_reisen03_full"	"被完全蓄力的「胧月花栞」击中"
		"DOTA_Tooltip_ability_reisenold04_modifier"	"「幻胧月睨」"
		"DOTA_Tooltip_ability_reisenold04_modifier_Description"	"进入隐身，被动概率提高，每次攻击制造幻象。"
		"DOTA_Tooltip_modifier_thdots_Remilia02_think_interval"	"吸血鬼突袭"
		"DOTA_Tooltip_modifier_thdots_Remilia02_think_interval_Description"	"蓄力准备抓捕敌人。"
		"DOTA_Tooltip_modifier_thdots_Remilia03_think_interval"	"红蝙蝠"
		"DOTA_Tooltip_modifier_thdots_Remilia03_think_interval_Description"	"消失变为蝙蝠，对周围敌人造成伤害。"
		"DOTA_Tooltip_modifier_thdots_Remilia03_blind"	"致盲"
		"DOTA_Tooltip_modifier_thdots_Remilia03_blind_Description"	"攻击有概率丢失并减少移动速度。"
		"DOTA_Tooltip_modifier_thdots_Remilia04_think_interval"	"红符「红色不夜城」"
		"DOTA_Tooltip_modifier_thdots_Remilia04_think_interval_Description"	"每秒耗魔召唤红色十字架，对范围内敌人造成伤害并吸收为血量。"
		"DOTA_Tooltip_modifier_thdots_shikieiki1_accusation"	"有罪"
		"DOTA_Tooltip_modifier_thdots_shikieiki1_accusation_Description"	"拥有罪名，击杀单位会受到最大生命值百分比伤害。"
		"DOTA_Tooltip_modifier_thdots_shikieiki04_debuff"	"审判「Last Judgement」"
		"DOTA_Tooltip_modifier_thdots_shikieiki04_debuff_Description"	"无法使用技能和道具，且在四季周围600码内持续时间不减少。"
		"DOTA_Tooltip_modifier_momiji02_antiinvisible"	"监控「天狗视觉」"
		"DOTA_Tooltip_modifier_momiji02_antiinvisible_Description"	""
		"DOTA_Tooltip_passive_momiji04_bonus"	"哨戒「妖怪山的巡山人」"
		"DOTA_Tooltip_passive_momiji04_bonus_Description"	"增加犬走椛及其天狗部队的移动速度、攻击速度。"
		"DOTA_Tooltip_modifier_wriggle01_antiinvisible"	"灯符「荧光现象」"
		"DOTA_Tooltip_modifier_wriggle01_antiinvisible_Description"	""
		"DOTA_Tooltip_passive_wriggle03_attack"	"「不合时令的蝶雨」"
		"DOTA_Tooltip_passive_wriggle03_attack_Description"	"每隔10秒攻击附加额外伤害并使目标沉默"
		"DOTA_Tooltip_passive_wriggle04_invisible"	"隐虫「永夜蛰居」"
		"DOTA_Tooltip_passive_wriggle04_invisible_Description"	"永久隐身直至攻击。"
		"DOTA_Tooltip_modifier_wriggle04_noinvisible"	"显身状态"
		"DOTA_Tooltip_modifier_wriggle04_noinvisible_Description"	"虫子被发现了！"
		"DOTA_Tooltip_wriggle_wanbaochui_buff" "感应雷达"
		"DOTA_Tooltip_wriggle_wanbaochui_buff_Description" "周围900范围内没有敌方少女获得40%%移速和3%%生命魔法恢复加成。"
		"DOTA_Tooltip_wriggle_wanbaochui_buff_2" "感应雷达"
		"DOTA_Tooltip_wriggle_wanbaochui_buff_2_Description" "周围900范围内存在敌方少女获得30攻击/攻速加成。"
		"DOTA_Tooltip_modifier_special_bonus_corruption_debuff_description"		"护甲被恋恋天赋削弱。"
		"DOTA_Tooltip_passive_koishi01_bonus"	"「恋之埋火」"
		"DOTA_Tooltip_passive_koishi01_bonus_Description"	"增加自身攻击力"
		"DOTA_Tooltip_passive_koishi01_bonus_attack"	"「恋之埋火」"
		"DOTA_Tooltip_passive_koishi01_bonus_attack_Description"	"周围少女越多攻击力越高。"
		"DOTA_Tooltip_passive_koishi02_attack_landed"	"「无意识的基因」"
		"DOTA_Tooltip_passive_koishi02_attack_landed_Description"	"攻击会使目标丢失魔法值。"
		"DOTA_Tooltip_passive_koishi03_bonus"	"「被厌恶者的哲学」"
		"DOTA_Tooltip_passive_koishi03_bonus_Description"	"有概率闪避攻击，\n攻击有概率暴击。"
		"DOTA_Tooltip_passive_koishi03_bonus_criticalstrike"	"暴击"
		"DOTA_Tooltip_passive_koishi03_bonus_criticalstrike_Description"	"下一次攻击会附带暴击效果。"
		"DOTA_Tooltip_modifier_koishi04_bonus"	"「Subterranean Rose」"
		"DOTA_Tooltip_modifier_koishi04_bonus_Description"	"封闭意识，提高全属性及移动速度，但是无法控制。"
		"DOTA_Tooltip_modifier_koishi04_bonus_action"	"变身中"
		"DOTA_Tooltip_modifier_koishi04_bonus_action_Description"	"准备封闭意识。"
		"DOTA_Tooltip_modifier_koishi04_bonus_action_end"	"变身结束"
		"DOTA_Tooltip_modifier_koishi04_bonus_action_end_Description"	"准备敞开意识。"
		"DOTA_Tooltip_passive_yumemiEx_bonus_attack"	"「大统一定律」"
		"DOTA_Tooltip_passive_yumemiEx_bonus_attack_Description"	"每个十字架为教授抵挡0.05秒内的所有伤害，并增加20点攻击力。(自带的一层十字架不抵挡伤害)\n万宝槌效果：十字架不再抵挡伤害"
